UNIDADE;CIDADE;UF;Mês/Ano;Qtde Cereais (kg);Valor Cereais (R$);Qtde Hortigranjeiros (kg);Valor Hortigranjeiros (R$);Qtde Produtos Diversos (kg);Valor Produtos Diversos (R$);Soma (kg);Soma (R$)
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2008;0;0,00;255.627.675;289.702.745,02;3.589.050;21.124.085,45;259.216.725;310.826.830,47
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2009;0;0,00;257.174.777;327.914.370,44;2.629.458;12.529.654,18;259.804.235;340.444.024,62
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2008;0;0,00;241.658.316;296.167.404,62;3.494.643;14.765.510,43;245.152.959;310.932.915,05
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2008;0;0,00;263.953.686;313.134.051,83;3.576.185;14.142.573,64;267.529.871;327.276.625,47
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2008;0;0,00;259.440.888;308.949.854,26;3.524.078;13.019.720,72;262.964.966;321.969.574,98
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2009;0;0,00;251.557.356;353.417.186,67;3.501.122;13.518.343,75;255.058.478;366.935.530,42
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2008;0;0,00;244.001.697;281.526.599,81;3.612.812;14.171.246,34;247.614.509;295.697.846,15
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2009;0;0,00;252.800.014;310.631.264,37;2.967.110;12.136.390,34;255.767.124;322.767.654,71
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2008;0;0,00;244.709.345;303.909.670,49;4.390.418;18.726.868,49;249.099.763;322.636.538,98
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2009;0;0,00;246.246.030;307.030.383,41;3.376.747;15.951.257,79;249.622.777;322.981.641,20
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2008;0;0,00;239.756.789;287.538.259,68;3.429.086;12.958.726,10;243.185.875;300.496.985,78
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2009;0;0,00;255.980.732;316.202.002,88;3.786.230;17.945.623,24;259.766.962;334.147.626,12
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2008;0;0,00;252.339.052;318.822.576,22;4.095.510;15.595.566,83;256.434.562;334.418.143,05
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2009;0;0,00;259.634.982;333.462.412,69;4.649.306;25.051.666,17;264.284.288;358.514.078,86
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2008;0;0,00;255.534.125;310.454.190,92;4.444.834;16.471.075,36;259.978.959;326.925.266,28
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2009;0;0,00;271.196.408;375.911.306,23;5.076.798;34.657.844,00;276.273.206;410.569.150,23
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2008;0;0,00;264.310.267;302.389.065,96;5.681.419;31.379.066,16;269.991.686;333.768.132,12
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2009;0;0,00;244.005.579;304.957.799,03;2.874.259;13.737.989,62;246.879.838;318.695.788,65
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2008;0;0,00;260.481.127;272.105.221,03;4.434.346;28.657.074,36;264.915.473;300.762.295,39
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2008;0;0,00;284.313.419;377.307.546,17;3.366.384;20.321.985,77;287.679.803;397.629.531,94
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2010;0;0,00;260.596.656;348.859.649,93;2.447.673;11.573.265,52;263.044.329;360.432.915,45
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2011;0;0,00;261.316.489;351.998.153,88;2.343.431;11.738.969,76;263.659.920;363.737.123,64
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2009;0;0,00;279.940.351;417.310.559,55;3.025.677;17.252.381,26;282.966.028;434.562.940,81
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2010;0;0,00;274.088.473;371.155.842,15;3.549.738;16.693.451,80;277.638.211;387.849.293,95
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2009;0;0,00;268.913.988;371.155.358,68;3.093.360;15.639.701,91;272.007.348;386.795.060,59
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2010;0;0,00;246.791.454;344.854.446,17;3.661.450;14.086.794,78;250.452.904;358.941.240,95
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2009;0;0,00;266.562.060;364.989.593,65;3.894.602;16.120.086,29;270.456.662;381.109.679,94
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2010;0;0,00;258.661.367;357.527.915,53;3.235.890;13.955.262,88;261.897.257;371.483.178,41
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2009;0;0,00;257.941.780;360.149.491,99;4.225.474;16.465.547,32;262.167.254;376.615.039,31
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2010;0;0,00;254.465.292;341.649.170,57;3.606.462;15.117.457,24;258.071.754;356.766.627,81
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2010;0;0,00;256.146.331;326.413.879,83;3.112.848;14.347.865,25;259.259.179;340.761.745,08
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2010;0;0,00;241.190.845;327.216.714,32;2.906.194;11.995.782,31;244.097.039;339.212.496,63
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2010;0;0,00;254.318.323;360.405.004,54;3.118.732;13.271.868,93;257.437.055;373.676.873,47
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2011;0;0,00;275.028.418;432.500.027,35;4.278.657;23.672.737,30;279.307.075;456.172.764,65
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2010;0;0,00;258.949.036;387.198.348,47;3.075.186;13.148.474,46;262.024.222;400.346.822,93
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2011;0;0,00;247.269.939;389.719.658,91;3.639.222;17.192.907,71;250.909.161;406.912.566,62
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2010;0;0,00;273.351.616;435.006.369,30;5.573.578;22.854.597,85;278.925.194;457.860.967,15
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2011;0;0,00;255.443.571;375.750.151,33;2.834.667;13.465.260,30;258.278.238;389.215.411,63
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2010;0;0,00;247.025.771;366.215.903,12;3.371.347;14.943.328,70;250.397.118;381.159.231,82
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2010;0;0,00;293.106.772;422.761.652,87;3.031.772;17.270.448,88;296.138.544;440.032.101,75
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2012;0;0,00;278.761.235;392.114.249,20;2.978.069;13.357.834,95;281.739.304;405.472.084,15
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2012;0;0,00;280.925.090;367.615.664,75;3.644.565;14.171.026,27;284.569.655;381.786.691,02
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2011;0;0,00;292.813.700;464.142.345,23;2.908.500;16.198.039,53;295.722.200;480.340.384,76
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2012;0;0,00;283.384.605;511.166.340,22;4.253.504;16.013.974,78;287.638.109;527.180.315,00
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2011;0;0,00;280.229.740;409.920.577,69;3.388.106;14.612.801,44;283.617.846;424.533.379,13
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2012;0;0,00;298.370.669;536.242.507,84;4.650.448;18.812.691,03;303.021.117;555.055.198,87
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2011;0;0,00;271.962.589;401.737.453,83;3.144.636;13.623.982,71;275.107.225;415.361.436,54
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2012;0;0,00;261.358.856;500.598.023,37;4.264.828;15.409.112,37;265.623.684;516.007.135,74
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2011;0;0,00;269.511.434;422.784.020,56;3.674.424;15.994.440,82;273.185.858;438.778.461,38
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2012;0;0,00;284.995.533;535.891.657,83;4.653.757;17.883.781,31;289.649.290;553.775.439,14
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2011;0;0,00;279.835.550;448.586.247,33;3.963.946;16.618.832,88;283.799.496;465.205.080,21
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2012;0;0,00;264.291.445;479.256.795,46;3.756.152;14.471.346,40;268.047.597;493.728.141,86
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2011;0;0,00;248.122.427;362.358.263,37;2.890.316;13.118.038,30;251.012.743;375.476.301,67
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2012;0;0,00;260.130.172;408.638.519,73;3.685.447;14.382.597,37;263.815.619;423.021.117,10
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2011;0;0,00;247.281.299;361.181.096,40;3.031.710;13.183.340,61;250.313.009;374.364.437,01
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2012;0;0,00;280.027.880;417.207.226,92;4.178.444;16.237.270,72;284.206.324;433.444.497,64
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2011;0;0,00;266.304.858;419.511.683,38;3.144.757;14.310.852,91;269.449.615;433.822.536,29
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2012;0;0,00;279.250.547;399.254.482,89;4.029.419;16.754.196,31;283.279.966;416.008.679,20
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2012;0;0,00;291.217.641;422.875.127,17;4.288.045;16.453.550,91;295.505.686;439.328.678,08
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2012;0;0,00;290.925.076;561.982.542,36;3.100.888;13.219.239,69;294.025.964;575.201.782,05
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2013;0;0,00;281.060.759;538.939.804,07;2.991.897;14.165.074,75;284.052.656;553.104.878,82
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2014;0;0,00;294.897.347;551.055.643,51;3.299.856;16.669.487,34;298.197.203;567.725.130,85
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2013;0;0,00;281.550.495;21.391.627,65;4.219.582;551.173.263,38;285.770.077;572.564.891,03
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2013;0;0,00;289.525.109;562.078.518,77;5.025.966;21.970.290,25;294.551.075;584.048.809,02
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2013;0;0,00;280.960.039;570.562.343,10;4.200.198;17.790.406,89;285.160.237;588.352.749,99
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2014;0;0,00;273.518.545;557.842.247,37;5.026.854;20.303.152,29;278.545.399;578.145.399,66
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2013;0;0,00;274.755.149;546.155.039,18;5.164.556;18.279.285,95;279.919.705;564.434.325,13
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2014;0;0,00;274.959.705;536.429.238,30;3.830.560;19.476.766,15;278.790.265;555.906.004,45
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2013;0;0,00;271.690.239;509.193.264,80;3.909.331;17.732.094,52;275.599.570;526.925.359,32
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2014;0;0,00;256.379.068;487.614.270,29;3.620.738;14.903.766,06;259.999.806;502.518.036,35
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2013;0;0,00;247.051.099;478.746.135,56;3.974.315;15.570.710,84;251.025.414;494.316.846,40
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2014;0;0,00;274.598.915;571.638.698,00;4.635.195;19.749.798,77;279.234.110;591.388.496,77
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2013;0;0,00;277.719.492;578.642.078,80;4.708.364;18.586.243,88;282.427.856;597.228.322,68
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2014;0;0,00;272.782.184;583.966.907,23;6.072.762;27.039.844,18;278.854.946;611.006.751,41
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2013;0;0,00;279.322.353;588.146.179,57;4.313.274;16.093.313,68;283.635.627;604.239.493,25
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2014;0;0,00;277.016.044;653.195.602,15;4.919.995;21.485.788,56;281.936.039;674.681.390,71
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2013;0;0,00;279.240.639;596.234.787,08;6.174.397;25.151.657,37;285.415.036;621.386.444,45
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2014;0;0,00;271.523.230;587.082.823,53;3.940.911;17.241.115,20;275.464.141;604.323.938,73
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2013;0;0,00;258.882.422;502.248.086,47;4.102.961;18.340.312,21;262.985.383;520.588.398,68
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2013;0;0,00;297.180.770;619.464.188,49;3.310.627;15.679.059,16;300.491.397;635.143.247,65
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2015;0;0,00;288.828.865;607.852.201,36;3.380.440;18.518.518,07;292.209.305;626.370.719,43
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2016;0;0,00;254.090.417;671.728.559,09;3.238.610;19.329.857,49;257.329.027;691.058.416,58
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2014;0;0,00;303.131.690;672.605.277,01;3.834.720;20.393.455,28;306.966.410;692.998.732,29
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2015;0;0,00;269.849.744;658.859.801,33;3.767.877;21.934.716,35;273.617.621;680.794.517,68
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2014;0;0,00;270.629.652;606.854.028,27;3.850.266;20.619.916,67;274.479.918;627.473.944,94
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2015;0;0,00;284.518.876;624.901.942,05;4.652.824;22.124.956,58;289.171.700;647.026.898,63
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2014;0;0,00;302.714.458;622.413.503,24;4.841.611;20.787.774,24;307.556.069;643.201.277,48
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2015;0;0,00;275.715.077;598.558.763,59;4.792.598;21.394.849,53;280.507.675;619.953.613,12
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2014;0;0,00;287.859.666;590.390.983,91;4.937.396;21.391.299,53;292.797.062;611.782.283,44
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2015;0;0,00;281.534.383;605.167.299,89;4.378.295;18.959.164,29;285.912.678;624.126.464,18
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2015;0;0,00;275.105.333;628.307.341,59;30.823.499;20.197.330,59;305.928.832;648.504.672,18
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2015;0;0,00;269.711.023;609.887.662,12;4.188.121;20.640.569,73;273.899.144;630.528.231,85
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2015;0;0,00;264.164.820;607.368.067,50;4.199.588;18.504.697,75;268.364.408;625.872.765,25
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2016;0;0,00;269.433.737;755.217.991,80;4.425.866;26.792.082,49;273.859.603;782.010.074,29
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2015;0;0,00;278.537.016;633.116.498,15;4.695.869;23.246.131,16;283.232.885;656.362.629,31
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2016;0;0,00;269.882.350;723.153.064,72;3.997.669;25.345.479,93;273.880.019;748.498.544,65
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2015;0;0,00;292.862.463;662.893.955,86;6.754.484;30.189.959,63;299.616.947;693.083.915,49
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2016;0;0,00;269.882.350;723.153.064,72;3.997.669;25.345.479,93;273.880.019;748.498.544,65
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2015;0;0,00;250.607.912;582.553.520,90;4.179.031;19.786.905,17;254.786.943;602.340.426,07
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2015;0;0,00;287.605.329;766.080.698,36;3.949.766;24.844.133,84;291.555.095;790.924.832,20
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2017;0;0,00;269.118.624;550.637.345,04;2.811.662;19.767.934,70;271.930.286;570.405.279,74
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2017;0;0,00;267.819.916;596.033.998,78;3.328.923;21.705.894,89;271.148.839;617.739.893,67
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2016;0;0,00;289.915.907;691.040.687,45;3.153.875;22.556.766,36;293.069.782;713.597.453,81
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2017;0;0,00;277.659.701;668.457.337,62;3.292.608;24.379.446,91;280.952.309;692.836.784,53
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2016;0;0,00;272.276.936;665.458.408,13;3.411.753;21.915.165,59;275.688.689;687.373.573,72
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2017;0;0,00;270.970.159;700.351.858,28;3.675.755;26.327.764,02;274.645.914;726.679.622,30
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2016;0;0,00;264.710.748;659.621.654,68;3.553.676;21.687.313,50;268.264.424;681.308.968,18
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2017;0;0,00;271.634.027;659.331.204,77;3.432.953;24.912.122,58;275.066.980;684.243.327,35
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2016;0;0,00;258.359.539;644.150.935,00;4.057.863;22.012.802,07;262.417.402;666.163.737,07
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2017;0;0,00;267.311.170;624.475.173,03;3.894.666;25.444.892,28;271.205.836;649.920.065,31
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2016;0;0,00;265.128.876;664.769.531,44;4.697.576;22.621.204,56;269.826.452;687.390.736,00
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2017;0;0,00;255.833.376;591.078.492,57;3.123.272;21.218.078,73;258.956.648;612.296.571,30
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2016;0;0,00;240.449.813;625.925.517,65;3.927.468;22.268.726,42;244.377.281;648.194.244,07
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2017;0;0,00;267.700.199;576.521.968,06;3.473.853;24.476.935,18;271.174.052;600.998.903,24
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2016;0;0,00;241.350.649;681.431.934,03;3.791.061;22.111.136,68;245.141.710;703.543.070,71
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2017;0;0,00;286.100.722;610.771.368,22;3.540.709;25.576.774,84;289.641.431;636.348.143,06
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2016;0;0,00;252.212.946;740.486.065,15;4.162.845;22.068.519,70;256.375.791;762.554.584,85
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2017;0;0,00;249.008.607;581.465.538,50;4.463.780;34.730.493,38;253.472.387;616.196.031,88
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2017;0;0,00;286.955.121;674.449.092,23;5.131.860;34.746.538,49;292.086.981;709.195.630,72
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2017;0;0,00;287.703.501;713.241.366,66;3.063.376;22.665.677,17;290.766.877;735.907.043,83
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2018;0;0,00;274.727.069;637.915.582,28;3.158.419;22.306.614,88;277.885.488;660.222.197,16
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2019;0;0,00;270.101.493;692.969.132,78;3.144.352;23.618.036,51;273.245.845;716.587.169,29
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2018;0;0,00;262.000.748;691.798.553,63;3.297.485;25.554.179,27;265.298.233;717.352.732,90
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2018;0;0,00;273.084.691;707.987.655,38;3.440.687;26.210.180,35;276.525.378;734.197.835,73
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2018;0;0,00;241.382.517;581.515.407,50;3.507.708;24.517.544,81;244.890.225;606.032.952,31
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2019;0;0,00;259.777.557;663.471.417,28;3.858.552;26.078.472,31;263.636.109;689.549.889,59
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2018;0;0,00;203.612.757;488.593.162,38;3.849.230;24.258.952,21;207.461.987;512.852.114,59
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2019;0;0,00;259.889.730;726.891.175,84;3.387.940;23.323.840,05;263.277.670;750.215.015,89
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2018;0;0,00;194.889.287;425.666.814,73;2.853.307;19.994.958,33;197.742.594;445.661.773,06
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2019;0;0,00;241.395.411;665.437.332,00;2.933.765;21.374.211,65;244.329.176;686.811.543,65
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2018;0;0,00;270.468.538;657.973.769,64;3.111.908;23.933.572,85;273.580.446;681.907.342,49
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2019;0;0,00;274.228.422;748.605.584,22;2.776.163;23.597.417,63;277.004.585;772.203.001,85
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2018;0;0,00;221.378.341;561.064.037,71;2.344.551;16.838.302,88;223.722.892;577.902.340,59
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2019;0;0,00;266.203.894;795.259.298,34;4.692.888;36.086.199,77;270.896.782;831.345.498,11
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2018;0;0,00;272.183.065;689.811.989,85;2.773.573;19.216.357,34;274.956.638;709.028.347,19
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2019;0;0,00;259.835.654;774.488.451,41;3.587.431;26.601.563,14;263.423.085;801.090.014,55
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2018;0;0,00;286.094.362;698.044.920,62;5.272.099;39.998.584,29;291.366.461;738.043.504,91
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2019;0;0,00;244.109.169;703.815.955,73;3.156.928;23.328.578,96;247.266.097;727.144.534,69
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2018;0;0,00;251.591.879;589.821.705,79;3.573.807;24.806.228,40;255.165.686;614.627.934,19
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2018;0;0,00;272.404.819;760.014.001,24;2.796.824;22.463.781,87;275.201.643;782.477.783,11
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2020;0;0,00;270.353.959;635.977.456,63;3.162.701;25.592.548,31;273.516.660;661.570.004,94
CEAGESP-SãoPaulo;SãoPaulo;SP;01/2021;0;0,00;250.519.223;734.705.209,83;2.656.193;24.126.191,98;253.175.416;758.831.401,81
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2019;0;0,00;278.953.287;725.451.373,44;3.057.594;25.822.306,90;282.010.881;751.273.680,34
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2020;0;0,00;258.293.613;764.884.326,17;3.283.446;26.968.771,40;261.577.059;791.853.097,57
CEAGESP-SãoPaulo;SãoPaulo;SP;11/2019;0;0,00;269.717.818;698.341.273,55;3.348.580;24.641.777,79;273.066.398;722.983.051,34
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2020;0;0,00;260.077.587;751.763.951,30;3.235.801;28.342.712,74;263.313.388;780.106.664,04
CEAGESP-SãoPaulo;SãoPaulo;SP;10/2019;0;0,00;282.539.496;692.099.144,35;3.554.768;27.598.648,38;286.094.264;719.697.792,73
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2020;0;0,00;257.024.364;674.725.418,80;3.979.805;32.569.954,95;261.004.169;707.295.373,75
CEAGESP-SãoPaulo;SãoPaulo;SP;09/2019;0;0,00;264.782.207;652.209.389,22;3.125.852;23.178.028,24;267.908.059;675.387.417,46
CEAGESP-SãoPaulo;SãoPaulo;SP;08/2020;0;0,00;238.320.540;639.818.980,66;2.958.747;24.125.028,01;241.279.287;663.944.008,67
CEAGESP-SãoPaulo;SãoPaulo;SP;07/2020;0;0,00;255.245.331;653.343.815,48;3.412.305;23.580.243,83;258.657.636;676.924.059,31
CEAGESP-SãoPaulo;SãoPaulo;SP;06/2020;0;0,00;247.964.068;613.797.766,07;3.349.480;25.458.276,79;251.313.548;639.256.042,86
CEAGESP-SãoPaulo;SãoPaulo;SP;05/2020;0;0,00;222.440.399;540.687.589,86;2.690.730;19.240.698,98;225.131.129;559.928.288,84
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2021;0;0,00;258.661.994;659.476.874,18;3.101.699;29.374.444,32;261.763.693;688.851.318,50
CEAGESP-SãoPaulo;SãoPaulo;SP;04/2020;0;0,00;237.810.544;592.509.893,55;4.038.128;27.408.739,72;241.848.672;619.918.633,27
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2021;0;0,00;272.611.583;732.662.630,00;5.090.993;45.326.883,74;277.702.576;777.989.513,74
CEAGESP-SãoPaulo;SãoPaulo;SP;03/2020;0;0,00;266.463.934;685.699.889,65;3.493.872;25.848.392,82;269.957.806;711.548.282,47
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2021;0;0,00;253.546.567;693.074.086,19;2.553.085;25.415.711,94;256.099.652;718.489.798,13
CEAGESP-SãoPaulo;SãoPaulo;SP;02/2020;0;0,00;235.309.821;548.683.838,53;2.792.204;21.338.594,72;238.102.025;570.022.433,25
CEAGESP-SãoPaulo;SãoPaulo;SP;12/2020;0;0,00;271.426.968;847.722.584,08;2.533.974;21.962.645,17;273.960.942;869.685.229,25
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;01/2008;0.0;0,00;10.434.073;12.150.647,90;46.884;29.835,50;10.480.957;12.180.483,40
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;01/2009;0.0;0,00;10.086.595;11.188.944,74;51.068;144.035,00;10.137.663;11.332.979,74
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;12/2008;0.0;0,00;11.490.103;12.673.454,99;70.685;192.744,25;11.560.788;12.866.199,24
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;11/2008;0.0;0,00;10.914.172;11.814.330,81;96.928;3.872,90;11.011.100;11.818.203,71
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;10/2008;0.0;0,00;11.513.226;11.882.455,58;91.824;264.238,03;11.605.050;12.146.693,61
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;09/2008;0.0;0,00;11.377.383;13.139.692,59;84.258;18.307,67;11.461.641;13.158.000,26
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;08/2021;0.0;0,00;249.320.867;724.259.583,73;4.138.264;40.831.963,10;253.459.131;765.091.546,83
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;08/2008;0.0;0,00;10.418.757;9.702.892,38;35.128;9.288,00;10.453.885;9.712.180,38
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;07/2021;0.0;0,00;251.567.093;651.043.908,30;3.997.316;36.138.789,25;255.564.409;687.182.697,55
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;07/2008;0.0;0,00;11.356.746;11.035.302,15;20.122;8.268,30;11.376.868;11.043.570,45
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;06/2021;0.0;0,00;256.349.818;602.179.026,80;3.660.160;38.142.784,08;260.009.978;640.321.810,88
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;06/2008;0.0;0,00;10.778.113;10.901.197,76;12.062;2.481,10;10.790.175;10.903.678,86
CEASA-SP-SantoAndré(CRAISA);SantoAndré(CRAISA);SP;05/2021;0.0;0,00;248.246.226;606.869.316,74;3.198.638;32.989.707,81;251.444.864;639.859.024,55
